"train 1, 2,val",recall,baseline,0,30,83,84,85,85.4,85.8,86,86.2,86.4,87.6,87.7,87.8,87.9,88
"['0', '905', '16860']",0.98,49,0,0,0,0,0,0,0,0,0,0,0,36,0,0,48
"train 1, 2,val",recall,baseline,0,30,83,84,85,85.4,85.8,86,86.2,86.4,,,,,
"['235', '905', '4096']",1,50,0,0,0,0,0,0,0,50,50,0,,,,,
"train 1, 2,val",recall,baseline,0,30,83,84,85,85.4,85.8,86,86.2,86.4,,,,,
"['905', '5192', '4096']",1,50,0,0,0,0,0,0,0,37,42,0,,,,,
"train 1, 2,val",recall,baseline,0,30,83,84,85,85.4,85.8,86,86.2,86.4,,,,,
"['905', '7813', '4096']",1,50,0,0,0,0,0,0,0,50,50,0,,,,,
"train 1, 2,val",recall,baseline,0,30,83,84,85,85.4,85.8,86,86.2,86.4,,,,,
"['905', '16860', '4096']",1,50,0,0,0,0,0,0,0,48,50,0,,,,,
"train 1, 2,val",recall,baseline,0,30,83,84,85,85.4,85.8,86,86.2,86.4,,,,,
"['905', '35715', '4096']",1,50,0,0,0,0,0,0,0,50,50,0,,,,,
"train 1, 2,val",recall,baseline,0,30,83,84,85,85.4,85.8,86,86.2,86.4,,,,,
"['5192', '7813', '4096']",1,50,0,0,0,0,0,0,0,43,46,0,,,,,
"train 1, 2,val",recall,baseline,0,30,83,84,85,85.4,85.8,86,86.2,86.4,,,,,
"['5192', '16860', '4096']",1,50,0,0,0,0,0,0,0,37,41,0,,,,,
"train 1, 2,val",recall,baseline,0,30,83,84,85,85.4,85.8,86,86.2,86.4,,,,,
"['7813', '16860', '4096']",1,50,0,0,0,0,0,0,0,50,50,0,,,,,
"train 1, 2,val",recall,baseline,0,30,83,84,85,85.4,85.8,86,86.2,86.4,,,,,
"['0', '235', '5192']",1,50,0,0,0,0,0,0,0,0,36,0,,,,,
"train 1, 2,val",recall,baseline,0,30,83,84,85,85.4,85.8,86,86.2,86.4,,,,,
"['0', '16860', '5192']",1,50,0,0,0,0,0,0,0,0,39,0,,,,,
"train 1, 2,val",recall,baseline,0,30,83,84,85,85.4,85.8,86,86.2,86.4,,,,,
"['7813', '16860', '5192']",1,50,0,0,0,0,1,0,0,0,0,0,,,,,
"train 1, 2,val",recall,baseline,0,30,83,84,85,85.4,85.8,86,86.2,86.4,,,,,
"['2048', '11946', '35715']",1,50,0,0,0,0,0,1,0,6,0,0,,,,,
